"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Friday",3773.83511159766
"2","member","Friday",824.538457121403
"3","casual","Monday",3372.28692301735
"4","member","Monday",842.564945488738
"5","casual","Saturday",3331.87948058394
"6","member","Saturday",968.996232089402
"7","casual","Sunday",3581.50467475302
"8","member","Sunday",920.028354449275
"9","casual","Thursday",3683.05479211913
"10","member","Thursday",823.92780326203
"11","casual","Tuesday",3596.35994917689
"12","member","Tuesday",826.149827414961
"13","casual","Wednesday",3718.89551899802
"14","member","Wednesday",823.999644234094
